session,dialogue,utterance_id,start,end,text,emotion,audio_path,video_dialog_path
Session1,Ses01M_script03_1,Ses01M_script03_1_F001,11.135,15.2126,Freda is the only one who knows we are here. She wouldn't ring up.,fear,IEMOCAP_full_release\Session1\sentences\wav\Ses01M_script03_1\Ses01M_script03_1_F001.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01M_script03_1.avi
Session3,Ses03F_impro02,Ses03F_impro02_M005,81.9,86.2325,What? You can't do that. Three weeks?,surprise,IEMOCAP_full_release\Session3\sentences\wav\Ses03F_impro02\Ses03F_impro02_M005.wav,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03F_impro02.avi
Session1,Ses01F_script03_1,Ses01F_script03_1_M000,4.2888,6.18,Good God.,fear,IEMOCAP_full_release\Session1\sentences\wav\Ses01F_script03_1\Ses01F_script03_1_M000.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_script03_1.avi
Session4,Ses04M_script02_1,Ses04M_script02_1_M020,167.6,170.99,There's mystery here and magic.,excited,IEMOCAP_full_release\Session4\sentences\wav\Ses04M_script02_1\Ses04M_script02_1_M020.wav,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04M_script02_1.avi
Session3,Ses03M_script01_3,Ses03M_script01_3_M032,276.085,286.1925,"That's just a little thing but that's the kind of guys I had.  They didn't just die, they killed themselves for each other and I mean that exactly.",sadness,IEMOCAP_full_release\Session3\sentences\wav\Ses03M_script01_3\Ses03M_script01_3_M032.wav,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03M_script01_3.avi
Session1,Ses01F_script03_1,Ses01F_script03_1_M000,4.2888,6.18,Good God.,fear,IEMOCAP_full_release\Session1\sentences\wav\Ses01F_script03_1\Ses01F_script03_1_M000.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_script03_1.avi
Session5,Ses05M_script01_1b,Ses05M_script01_1b_F030,309.54,311.63,What the hell is this?,surprise,IEMOCAP_full_release\Session5\sentences\wav\Ses05M_script01_1b\Ses05M_script01_1b_F030.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05M_script01_1b.avi
Session5,Ses05M_impro01,Ses05M_impro01_M019,136.69,143.24,"Well, then you're just gonna look stupid because I'm just waiting for an I.D. and you're gonna make security take me out because I want my I.D.",frustration,IEMOCAP_full_release\Session5\sentences\wav\Ses05M_impro01\Ses05M_impro01_M019.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05M_impro01.avi
Session2,Ses02F_impro03,Ses02F_impro03_F012,101.5291,102.95,You didn't know anything?,excited,IEMOCAP_full_release\Session2\sentences\wav\Ses02F_impro03\Ses02F_impro03_F012.wav,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02F_impro03.avi
Session1,Ses01F_script02_2,Ses01F_script02_2_M044,436.304,439.48,And look what I got here.,happiness,IEMOCAP_full_release\Session1\sentences\wav\Ses01F_script02_2\Ses01F_script02_2_M044.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_script02_2.avi
Session1,Ses01F_script01_1,Ses01F_script01_1_F002,14.3063,19.5526,How could he see it?  I was the first one up; he was still in bed.,surprise,IEMOCAP_full_release\Session1\sentences\wav\Ses01F_script01_1\Ses01F_script01_1_F002.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_script01_1.avi
Session1,Ses01M_script03_1,Ses01M_script03_1_M001,9.21,11.55,I wonder.,fear,IEMOCAP_full_release\Session1\sentences\wav\Ses01M_script03_1\Ses01M_script03_1_M001.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01M_script03_1.avi
Session5,Ses05F_script03_1,Ses05F_script03_1_F011,63.94,66.07,Meaning exactly that.,neutral,IEMOCAP_full_release\Session5\sentences\wav\Ses05F_script03_1\Ses05F_script03_1_F011.wav,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05F_script03_1.avi
Session3,Ses03F_script02_2,Ses03F_script02_2_F017,169.2852,172.4847,We thought I was pregnant.,sadness,IEMOCAP_full_release\Session3\sentences\wav\Ses03F_script02_2\Ses03F_script02_2_F017.wav,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03F_script02_2.avi
Session3,Ses03M_impro07,Ses03M_impro07_F019,125.51,127.85,Mmmm some miso soup.,happiness,IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro07\Ses03M_impro07_F019.wav,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03M_impro07.avi
Session1,Ses01F_script03_2,Ses01F_script03_2_F002,22.31,26.13,"Presents?  It was only a trivial, little brooch.",happiness,IEMOCAP_full_release\Session1\sentences\wav\Ses01F_script03_2\Ses01F_script03_2_F002.wav,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_script03_2.avi
