utterance_id,text,emotion
Ses01M_script03_1_F001,Freda is the only one who knows we are here. She wouldn't ring up.,fear
Ses03F_impro02_M005,What? You can't do that. Three weeks?,surprise
Ses01F_script03_1_M000,Good God.,fear
Ses04M_script02_1_M020,There's mystery here and magic.,excited
Ses03M_script01_3_M032,"That's just a little thing but that's the kind of guys I had.  They didn't just die, they killed themselves for each other and I mean that exactly.",sadness
Ses01F_script03_1_M000,Good God.,fear
Ses05M_script01_1b_F030,What the hell is this?,surprise
Ses05M_impro01_M019,"Well, then you're just gonna look stupid because I'm just waiting for an I.D. and you're gonna make security take me out because I want my I.D.",frustration
Ses02F_impro03_F012,You didn't know anything?,excited
Ses01F_script02_2_M044,And look what I got here.,happiness
Ses01F_script01_1_F002,How could he see it?  I was the first one up; he was still in bed.,surprise
Ses01M_script03_1_M001,I wonder.,fear
Ses05F_script03_1_F011,Meaning exactly that.,neutral
Ses03F_script02_2_F017,We thought I was pregnant.,sadness
Ses03M_impro07_F019,Mmmm some miso soup.,happiness
Ses01F_script03_2_F002,"Presents?  It was only a trivial, little brooch.",happiness
Ses05M_script02_1_M032,"they just all as one turn around and start swimming to this very point where we are standing now for one last celebration of sex and death. God, it's giving me Goosebumps.  Look at all the hairs that are standing up.",excited
Ses04F_impro07_F010,"Do you want to buy me some mace for my, you know, going away present?",excited
Ses03F_impro07_F012,"and so, I mean, I got in.",happiness
Ses03M_impro04_M001,I've been looking for like eight months.,frustration
Ses05M_impro01_F014,"Sir, please don't waste my time.",frustration
Ses01F_impro01_F002,Is there a problem?,neutral
Ses02M_script02_1_M014,"Oh, a six-pack, that's, should've brought a -- a six-pack be just the ticket right now. How could I forget,",excited
Ses04M_script03_2_M023,Oh.  That reply has broken my heart.,frustration
Ses04M_script03_1_M001,I wonder.,fear
Ses01F_script03_2_M035,"Amanda, listen, listen.",anger
Ses05F_impro04_F011,This is humiliating.,frustration
Ses05M_impro07_M040,"Yeah, yeah, yeah.  And it's gonna work out.  I'm gonna be able to pay for it, I'm gonna go, I mean, I'll have a little debt in the end.  But I don't care.",excited
Ses02M_script03_2_M046,Shut up.,anger
Ses05M_impro07_F036,Oh cool.,happiness
Ses04F_impro02_M005,You don't know that.,frustration
Ses01M_impro03_M017,"Something blue, something new, something... no I don't know. [LAUGHTER] So yeah, wonder if she's going to pay me up front but do you think it's bad though, do you think they're going to like track the money or something?",excited
Ses02F_script03_1_M020,"No. No, it isn't.  Death is very laughable.  Such a cunning little mystery.  All done with mirrors.",excited
Ses03F_script01_1_M052,I am thinking like that.,neutral
Ses04M_script01_3_F012,Every day since.,happiness
Ses04F_script01_3_F009,I guess this is why I came.,happiness
Ses05F_impro03_F051,"Two artists, though.  We're bound to be poor forever.",happiness
Ses01M_script03_1_M001,I wonder.,fear
Ses03F_impro06_F008,I loved that boy.,sadness
Ses01M_script03_1_M001,I wonder.,fear
Ses05F_script01_3_M033,And to show that-to-to bring that back onto the earth again like a- like a monument.  And everyone would have it standing behind them and- and it would make a difference for them.,sadness
Ses05F_impro03_F042,I know. I can't believe it.,excited
Ses04F_script03_1_F030,And very much sillier.,excited
Ses03M_impro07_F019,Mmmm some miso soup.,happiness
Ses02M_impro08_F018,So is there any- I mean what if they spend something again?,fear
Ses01M_script01_3_F021,You got to tell me.,sadness
Ses05M_script03_1_F031,You knew there was nothing in that.,neutral
Ses05F_impro07_M013,Uh! I'm so happy that you're not going to go away.,excited
Ses02M_impro08_F018,So is there any- I mean what if they spend something again?,fear
Ses01M_script01_1_M038,Then help me stay here mom.,sadness
Ses05M_script01_1b_M036,"Yeah, I'd like one hour a day.  If I have to grub for money all day long, I'd like to go home to something beautiful.  I'd like a family.  I'd like some kids.",anger
Ses02F_impro03_M002,No.  Let me see.,surprise
Ses04M_impro07_F011,"Oh, you did not just say that.",happiness
Ses05F_impro07_M008,That'll be awesome.,excited
Ses02M_impro07_M023,"What's that? ahh Well, you know I'm I'm thinking um I'm leaning towards like communications",happiness
Ses01F_script03_1_F001,Freda is the only one who knows we are here.  She wouldn't ring up.,fear
Ses01F_script03_1_M001,I wonder.,fear
Ses04M_script03_1_F001,"Nobody knows we're here, except Freda and she wouldn't ring up.",fear
Ses01M_impro04_F025,"Well, what kind of field are you looking to go into?",neutral
Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet.",happiness
Ses05F_script03_2_F032,Turn it on again.,anger
Ses05M_impro02_F015,"Are you gonna be like in tanks running around?  What- I mean, what does that mean?",fear
Ses05M_script03_2_F026,You always had a weak head.,neutral
Ses04F_script02_2_F020,"and you popped the cork and while we were dancing, you said the softest most intimate things to me",sadness
Ses01F_impro07_F013,"I would be like- Oh. Right, right, right.",excited
Ses02F_impro08_F020,Okay.  Great.  What time of the day would you like?,neutral
Ses02F_script03_2_F031,Why?,anger
Ses02M_script01_3_M004,What?,surprise
Ses01M_script02_1_M045,It's like urgency that's pure urge you know.  It's single-mindedness with no mind.,excited
Ses05F_impro04_F029,I don't know.,frustration
Ses04M_script03_1_M003,"We'll be alright, darling.  Whatever happens, aren't we?",neutral
Ses04M_impro03_M026,She's okay with it.,happiness
Ses04M_impro02_F002,You're just going to pick up and leave me and our baby and miss a year of our lives?,frustration
Ses05F_impro02_M019,"Your Your mom, you want me to move in with your mom?",surprise
Ses02F_script02_2_F010,"No, we won't.  It's pointless.  It's like waiting up to see Santa Claus.",frustration
Ses01F_impro03_F010,Oh.  I hadn't even thought about that.,happiness
Ses02M_script03_1_M002,Must be them then.,fear
Ses02M_script03_1_M003,"We're all right darling, aren't we whatever happens?",fear
Ses05M_impro02_F016,"Oh, my God.",fear
Ses04M_script03_1_M001,I wonder.,fear
Ses05F_script02_1_M025,For real?,surprise
Ses04M_script01_1_F002,When?,surprise
Ses03M_impro03_M019,Yeah.,happiness
Ses03F_impro02_M020,I can't be that strong. A whole year.,sadness
Ses04M_script03_1_F002,What are we to do?,fear
Ses03M_impro08b_F007,Okay?  And it [GARBAGE]. My business is failing because my phone isn't working and I don't have a land line and I really can't handle this right now.,frustration
Ses03F_impro01_M009,"okay, just go back and fill it out real quick and I'm sorry, you have to get back in line and wait. I can't let you cut.",frustration
Ses03M_script01_2_M002,uh-uh What do you mean?  They grew up next to each other their entire lives.  Why shouldn't he want to see her?,frustration
Ses03M_script02_2_F024,Rather not hope for something.,sadness
Ses01F_script01_1_M041,I know that.  Then just help me stay here.,frustration
Ses03M_script02_2_F026,No.,frustration
Ses05F_script01_2_M014,"All right, all right.  Calm yourself.",frustration
Ses02F_script02_1_M044,What I was saying.,neutral
Ses05F_script01_3_F002,It's so lovely here.  The air is sweet.,happiness
Ses05M_impro06_M010,"you know, sometimes you think you want to make that phone call, or you think you want to tell somebody something, or something like that.  Do you know what I mean?  Like that's -- he was the person that I did that with.  You know, like, that's the person who I needed to call to tell things to all the time.",sadness
Ses02F_impro03_F027,"Of course, of course--you'll be able to be a part of it.  You can come help me pick my colors.",happiness
Ses05F_impro07_F014,Can we for real live together?,excited
Ses05F_impro02_M039,Three weeks?,surprise
Ses01M_script03_1_M003,"We're okay, right darling?  Whatever happens, we're okay?",fear
Ses04M_script01_3_M022,"Yes, I suppose there has been.  But it's going from me.",sadness
Ses04M_impro07_F014,"That's great.  I mean, I'm really glad you're not going to go anywhere.  You'll still be here.",excited
Ses05F_impro02_M019,"Your Your mom, you want me to move in with your mom?",surprise
Ses01M_impro04_F023,[BREATHING],neutral
Ses05F_script03_2_M026,"You must have a riotous time, no restraint at all, very enjoyable.  I mean, you never had much anyway.",anger
Ses04F_script01_3_M035,a sort of responsibility man for man.  You understand me?,sadness
Ses02F_script03_1_M016,Who knows.,neutral
Ses05M_script03_1_F003,"Now and always, my sweet.",excited
Ses05F_impro04_F023,I feel like I have faith and now faith is running thin because there is no money.,sadness
Ses05M_impro08_F022,"Oh, my God.  I can't even tell you how much of a relief that is.  I literally call and talk to five different people.  Like last week it went off and I spent an hour and a half on the phone with different people.  And I've been doing that like every, every other week for months now.",happiness
Ses05M_impro05_M009,"You know, this is actually, I mean it's -- it's a really important piece of luggage.",neutral
Ses02F_script01_3_M026,It takes some time for a guy to toss that off.  'Cause they weren't just men.,sadness
Ses01M_script03_1_M000,Good God.,fear
Ses05M_script02_2_F027,"This is just this.  I mean, it's a lot and everything.  But it's not, you know, something else.  Am I making any sense?",sadness
Ses03F_script01_2_F016,"Look at it. Because why, when she came here and she slept in his room, the memorial broke into pieces. Look at it, look at it, Joe.",anger
Ses01M_script02_2_F038,Are you kidding me?  For heaven sake Augie anything I'm doing I'd rather be doing it with you.,surprise
Ses02F_impro06_M016,"No, you'll never forget him.",neutral
Ses03F_impro08_M000,"Hey, you stupid dumb shit machine, give me a fucking operator, huh?",anger
Ses03F_script03_1_F002,"I mean, nobody knows we're here except for Freda and she wouldn't ring up.",fear
Ses02F_impro03_M007,That--that is the most romantic thing I have ever heard.,surprise
Ses03M_impro05a_M005,Yes.,anger
Ses05M_impro04_M012,"I go in for these interviews, and they're all cool and everything, you know.  Their nice and I'm nice to them, you know, give and take, back and forth, and whatever.",frustration
Ses03M_impro01_F016,Well not from this department you won't.,frustration
Ses01F_impro05_M033,Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,surprise
Ses01F_impro03_F013,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],happiness
Ses03F_impro06_F035,I loved him so much.,sadness
Ses01M_script02_2_F024,I'd rather not remember some things.  I'd rather not hope for some things.,sadness
Ses04F_script01_1_M004,"No, I figured the best thing was to leave him alone.",sadness
Ses04F_script01_1_F042,But don't think that way.  You hear me?,anger
Ses05F_impro03_F036,[LAUGHTER],happiness
Ses03F_script01_3_M017,Why didn't you?,surprise
Ses04F_impro02_F011,What's that supposed to mean?,sadness
Ses04F_script03_1_M001,I wonder.,fear
Ses03M_script01_3_F029,How many?,sadness
Ses02F_impro03_M006,What?,surprise
Ses05M_script01_3_M012,Why didn't you?,surprise
Ses03M_impro08a_F013,"You sign the contract and then down the line the phone doesn't work and you're stuck, you can't go to a new...no.  No contracts for me.  You give me a new phone.",anger
Ses04F_impro07_F004,"Well yeah, that's the general idea. [LAUGHTER]",excited
Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet.",happiness
Ses04F_script02_2_F038,I didn't say that.,frustration
Ses02F_script03_1_F000,Do you think it's them?,fear
Ses03M_impro02_M032,What?,surprise
Ses03F_impro06_F031,"Yeah. God, I loved that kid.",sadness
Ses01M_impro03_F022,How exciting.  You should make her bring all your friends too.,excited
Ses04F_impro03_M002,Are you serious?  You're getting married.,surprise
Ses01F_impro03_F004,Um- Yes.  It was very romantic.,happiness
Ses01F_script03_1_F000,Is it them?,fear
Ses02M_impro05_M014,see where it came from originally. I mean it seems like-,frustration
Ses01F_impro03_F009,But we're going to have a honeymoon cruise.,happiness
Ses05F_impro05_M047,"Well, it sounds to me like you're being ridiculous",frustration
Ses04F_script01_2_M010,Look it's a nice day.  What are we arguing for?,frustration
Ses02F_script02_1_M006,"How you doing?  Aw, you know what I forgot?  I forgot to bring my flashlight.  Oh, how could I be so stupid?  I should've brought my flashlight.",excited
Ses03M_impro04_M004,Cause I went to Harvard.,anger
Ses02F_impro07_M011,Wow. That's cool.,excited
Ses04F_impro07_M002,Get out.,surprise
Ses05F_script01_1_F033,What the hell is this?,anger
Ses04M_impro02_M031,"Look, I--",frustration
Ses02M_script01_1_M026,I wanted to get this settled first.,neutral
Ses05M_script02_2_F006,I just - We just have different ideas of what this night is suppose to look like.,frustration
Ses04F_script01_1_F004,Did you talk to him?,sadness
Ses02F_script01_3_F026,You still feel that way?,sadness
Ses03M_script03_2_M004,You must admit he was in love with you.,anger
Ses02M_impro06_M014,We were all going take a trip to Europe you know.,sadness
Ses01F_impro05_F008,Flight seven fourteen.,anger
Ses01M_script03_1_M019,Flippancy brings out the acid in their darn sweetness and light.,happiness
Ses04F_script03_1_M002,It must be them then.,fear
Ses04M_script03_1_F002,What are we to do?,fear
Ses03F_script02_2_F000,About what?,neutral
Ses04F_script03_2_M037,Turn it off.  It's driving me mad.,anger
Ses05M_script01_3_M012,Why didn't you?,surprise
Ses05F_impro05_M051,So you'd like the fifty dollar voucher?,neutral
Ses02M_script01_1_M037,"I've been a good son too long a good sucker, I'm through with it.",anger
Ses02M_impro06_M006,"God, it's you know, we've spent so much time with them it's just really surreal, really weird that we're not going to be able to see her anymore and go",sadness
Ses03F_script02_2_F000,About what?,neutral
Ses05M_script01_1b_F001,"What do you mean?  I was the first one up, he was still in bed.",surprise
Ses02F_script01_2_M014,All right.  All right.  Calm yourself.,frustration
Ses02F_impro04_F007,"I didn't have like one of those starts, you know, like a family member who was already in the business or something you know that could like give me a helping hand.",frustration
Ses03M_impro04_F026,What?  You can't...what?  Now come on.  Stop it.  Don't be talking like that.,surprise
Ses04M_script01_2_F002,"She's been in New York three and a half years.  Why, all of a sudden--",anger
Ses02F_script03_1_F001,"Well, nobody know we're here except Freda and she wouldn't ring up.",fear
Ses02F_impro02_F001,"There's nothing I can do.  I mean, the government you know--",sadness
Ses02M_script01_3_M014,You felt something that far back?,excited
Ses01F_impro06_F026,"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",sadness
Ses04M_impro02_F017,Just tell them no.,frustration
Ses04M_impro03_F005,"Oh, my God.  How long have you been planning on doing this?",excited
Ses01M_impro01_M020,Did you even look at the form?  I filled it out all these questions--,anger
Ses05M_script03_1_M002,Must be them then?,fear
Ses05F_impro06_M003,"I am so sorry,  It's-",sadness
Ses02F_impro03_F029,She'll be like--flowers and the--,happiness
Ses05M_script03_1_M001,I wonder.,excited
Ses02F_impro05_F003,How do you lose a suitcase?  A huge suitcase?,surprise
Ses05F_script02_1_M034,"Well, So what do you think?",excited
Ses04F_script03_1_F023,"Oh, Charles.  That was his name.  Charles he did wriggle so beautifully.",excited
Ses03F_script01_3_M015,I don't want to win you from anybody. I want you to be ready for me.,happiness
Ses01M_script03_1_M001,I wonder.,fear
Ses04M_impro06_M011,This is just -- this is a terrible life.  I just don't understand.,sadness
Ses05M_script01_1b_F001,"What do you mean?  I was the first one up, he was still in bed.",surprise
Ses04F_impro05_F007,Wait.  What?,surprise
Ses01F_impro01_M011,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,anger
Ses03M_script01_3_M030,Takes a little while to toss that off cause they weren't just men.,sadness
Ses05F_script02_2_M037,"Well, look what we have got here.",happiness
Ses05M_impro02_F015,"Are you gonna be like in tanks running around?  What- I mean, what does that mean?",fear
Ses01F_script01_1_M004,I guess he is.,neutral
Ses03M_script01_3_M042,And I didn't want to take any of it and I guess that included you.,sadness
Ses04F_impro06_F008,[LAUGHTER] You're probably right.  He probably would be pissed if we were all sitting around being upset about it. He'd want us to have a party.,happiness
Ses01F_impro03_F016,"He likes to keep tabs, you know.",happiness
Ses02M_impro05_F000,"Hi, can I help you?",neutral
Ses01M_script03_1_M000,Good God.,fear
Ses03F_script02_1_M018,What? Are you kidding me? We just got here. We'd miss it. What's the point of coming down there if we just turn around and go home?,surprise
Ses03F_impro06_F007,He was amazing.,sadness
Ses01M_impro03_M007,"Fifty thousand dollars. Fifty thousand dollars. I was just out... I just... she's - well, she's a friend of friend but like...",excited
Ses05F_impro04_F024,"Brian, I don't think you have a concept of what I mean by- by money.  I don't mean money like oh, I can't go get my hair and my nails done today, I mean like I can't eat.",frustration
Ses03M_impro08b_F010,No- I don't have a sim card because it's Verizon and you guys don't use sim cards.,frustration
Ses03M_script02_2_F049,Or not.,happiness
Ses03M_impro03_F030,Okay.  I haven't seen you in about two and a half years and I come back and you're getting engaged to somebody you only knew for,surprise
Ses03F_script02_2_F019,We took off our shoes and we danced barefoot in the sand. Under the moon.,happiness
Ses02M_script03_2_M005,You let him kiss you; you said you did.,anger
Ses05M_script01_1b_M031,"I've given it three years of thought.  I had hoped if I waited, dad would've forgotten him by now and we could have a- a regular wedding and everybody happy.",anger
Ses04F_impro04_F019,Well yeah I mean I like take a shower and stuff.,frustration
Ses03F_impro07_M004,"I know you've been trying to have a baby, right?",neutral
Ses04M_script03_2_M041,You better turn that off I think.,anger
Ses05F_impro02_F038,"I love you.  I'm going to miss you so much. ""sigh""",sadness
Ses02F_script01_3_F012,I almost got married two years ago.,happiness
Ses05M_script03_1_F000,Do you think it's them?,fear
Ses02M_script02_2_M023,Take off our shoes?,neutral
Ses01F_impro06_F005,I went to see her headstone a week or two ago.,sadness
Ses02F_impro05_M020,"All right, Miss, I-I know.  I realize this. But Like I said, there are several people that are in your same situation, so, um, it's not--it's not totally uncommon and I'm actually gonna have to ask you to move so I can help the next person.",neutral
Ses04M_impro03_F016,Big and shiny.  You're such a guy. [LAUGHTER],excited
Ses03F_impro04_M007,You don't owe me anything.,neutral
Ses05M_script02_2_M006,What's bugging you then?,frustration
Ses01M_script02_2_M053,"If we are really quiet, the fish might come.",happiness
Ses05M_script03_1_M023,"[garbage] Darling, kiss me before your body rots and worms start popping in and out of your eye sockets.",excited
Ses01M_script03_2_M039,That's very amusing indeed.,anger
Ses02F_script01_3_F016,I will never forgive you.  Why did you wait all these years?  All I did was sit and wonder if I was crazy for thinking of you.,happiness
Ses02M_script01_1_F039,Just don't go thinking that way.,frustration
Ses05M_impro04_M019,An abrasive vibe?,anger
Ses01F_script03_2_M015,Nothing.,frustration
Ses03M_impro07_F004,No.  You didn't get into production.  There's no way.,surprise
Ses02M_script03_1_F016,"Well, what happens if one of us dies, does the one that's left still laugh?",fear
Ses01F_script01_3_M015,Why didn't you let me know?,happiness
Ses02M_script01_3_M013,Why didn't you?,surprise
Ses05M_script01_1_M016,You know.,neutral
Ses01F_script02_2_M008,"There is nothing to it; we come down here, the fish arrive, they flop around, they do their fish thing.  We go ooh, ah, look at the fish and we go home.",frustration
Ses05F_impro03_M009,Oh absolutely.,excited
Ses02M_script01_3_M013,Why didn't you?,surprise
Ses01M_script03_1_M000,Good God.,fear
Ses03M_impro02_M032,What?,surprise
Ses05F_impro03_M002,Shut up.,surprise
Ses04F_script03_1_F014,"Oh, how long will it last, this ludicrous, over-bearing love of ours?",excited
Ses04M_script03_1_M007,With the mo- with the most perfect poise?,excited
Ses02M_impro07_F023,"Fair for you, Wow, oh my Gosh.",excited
Ses04M_script02_2_M038,Yeah?,surprise
Ses05M_impro05_F019,-- it's a biohazard. so- um,neutral
Ses03F_script03_1_F003,What are we to do?,fear
Ses01F_script02_2_F038,Yeah.  Don't you know that?,surprise
Ses04M_script01_3_M028,"For instance, one time it'd been raining several days.  And this kid came to me and gave me his last pair of dry socks; put them in my pocket.  That's only a little thing, but that's the kind of guys I had.",sadness
Ses02M_impro06_F011,Yeah.,sadness
Ses04F_script03_2_F041,finally and forever,anger
Ses03F_script01_3_M021,Give me-,happiness
Ses05F_impro01_F004,Can you just-can I just get the right-,frustration
Ses02M_script03_2_F014,What?,anger
Ses02F_impro07_F008,"...hang out and, like, have our different lives--And meet each other's friends and stuff.  So, I'm just so glad 'cause they have such a good school",excited
Ses01M_impro06_M004,God I've told this story so many times. Umm.,sadness
