utterance_id,video_dialog_path,emotion
Ses01M_script03_1_F001,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01M_script03_1.avi,fear
Ses03F_impro02_M005,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03F_impro02.avi,surprise
Ses01F_script03_1_M000,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_script03_1.avi,fear
Ses04M_script02_1_M020,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04M_script02_1.avi,excited
Ses03M_script01_3_M032,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03M_script01_3.avi,sadness
Ses01F_script03_1_M000,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_script03_1.avi,fear
Ses05M_script01_1b_F030,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05M_script01_1b.avi,surprise
Ses05M_impro01_M019,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05M_impro01.avi,frustration
Ses02F_impro03_F012,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02F_impro03.avi,excited
Ses01F_script02_2_M044,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_script02_2.avi,happiness
Ses01F_script01_1_F002,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_script01_1.avi,surprise
Ses01M_script03_1_M001,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01M_script03_1.avi,fear
Ses05F_script03_1_F011,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05F_script03_1.avi,neutral
Ses03F_script02_2_F017,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03F_script02_2.avi,sadness
Ses03M_impro07_F019,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03M_impro07.avi,happiness
Ses01F_script03_2_F002,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_script03_2.avi,happiness
Ses05M_script02_1_M032,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05M_script02_1.avi,excited
Ses04F_impro07_F010,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04F_impro07.avi,excited
Ses03F_impro07_F012,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03F_impro07.avi,happiness
Ses03M_impro04_M001,IEMOCAP_full_release\Session3\dialog\avi\DivX\Ses03M_impro04.avi,frustration
Ses05M_impro01_F014,IEMOCAP_full_release\Session5\dialog\avi\DivX\Ses05M_impro01.avi,frustration
Ses01F_impro01_F002,IEMOCAP_full_release\Session1\dialog\avi\DivX\Ses01F_impro01.avi,neutral
Ses02M_script02_1_M014,IEMOCAP_full_release\Session2\dialog\avi\DivX\Ses02M_script02_1.avi,excited
Ses04M_script03_2_M023,IEMOCAP_full_release\Session4\dialog\avi\DivX\Ses04M_script03_2.avi,frustration
